actual_topic,0,1,2,3
Artificial Intelligence,0.79,57.31,35.18,6.72
Climate Change,31.32,0.0,46.04,22.64
Cryptocurrency,1.1,51.1,35.29,12.5
Cybersecurity,1.5,35.34,53.01,10.15
