actual_topic,0,1,2,3
Artificial Intelligence,7.11,2.77,64.82,25.3
Climate Change,33.96,39.25,24.15,2.64
Cryptocurrency,47.79,24.26,6.99,20.96
Cybersecurity,36.84,29.32,6.02,27.82
