,pred_Artificial Intelligence,pred_Climate Change,pred_Cryptocurrency,pred_Cybersecurity
actual_Artificial Intelligence,50,0,1,0
actual_Climate Change,0,52,1,0
actual_Cryptocurrency,0,0,53,2
actual_Cybersecurity,0,0,1,52
