classifier,representation,n_features,accuracy,macro_precision,macro_recall,macro_f1
Naive Bayes,Bag of Words,582,0.9764,0.9769,0.9766,0.9767
Naive Bayes,Enriched (TF-IDF + 4 custom),586,0.9717,0.9725,0.972,0.9722
K-Nearest Neighbors,Bag of Words,582,0.9717,0.9727,0.9718,0.9721
K-Nearest Neighbors,Enriched (TF-IDF + 4 custom),586,0.934,0.9349,0.9339,0.934
Random Forest,Bag of Words,582,0.9858,0.9864,0.9858,0.9861
Random Forest,Enriched (TF-IDF + 4 custom),586,0.9811,0.9821,0.9809,0.9814
