class,precision,recall,f1,support
Artificial Intelligence,1.0,0.9608,0.98,51
Climate Change,1.0,1.0,1.0,53
Cryptocurrency,0.9474,0.9818,0.9643,55
Cybersecurity,0.9811,0.9811,0.9811,53
macro avg,0.9821,0.9809,0.9814,212
