classifier,representation,n_features,accuracy,macro_precision,macro_recall,macro_f1
Naive Bayes,Bag of Words,582,0.9764,0.9769,0.9766,0.9767
Naive Bayes,Enriched (TF-IDF + 16 per-topic custom),598,0.9764,0.9769,0.9766,0.9767
K-Nearest Neighbors,Bag of Words,582,0.967,0.9673,0.9675,0.9671
K-Nearest Neighbors,Enriched (TF-IDF + 16 per-topic custom),598,0.9387,0.9387,0.9397,0.9385
Random Forest,Bag of Words,582,0.9858,0.9864,0.9858,0.9861
Random Forest,Enriched (TF-IDF + 16 per-topic custom),598,0.9811,0.9816,0.9813,0.9814
