quarter,negative,neutral,positive,total
Ιουλ–Σεπ 2023,29.6,59.3,11.1,54
Οκτ–Δεκ 2023,28.0,66.7,5.3,75
Ιαν–Μαρ 2024,39.1,53.6,7.2,69
Απρ–Ιουν 2024,44.3,51.1,4.5,88
Ιουλ–Σεπ 2024,38.5,56.0,5.5,109
Οκτ–Δεκ 2024,35.6,56.3,8.0,87
Ιαν–Μαρ 2025,26.0,66.7,7.3,96
Απρ–Ιουν 2025,35.8,56.8,7.4,95
Ιουλ–Σεπ 2025,29.0,59.1,11.8,93
Οκτ–Δεκ 2025,35.8,60.0,4.2,95
Ιαν–Μαρ 2026,27.7,59.6,12.8,94
Απρ–Ιουν 2026,35.0,61.3,3.8,80
Ιουλ–Σεπ 2026,33.3,52.4,14.3,21
