representation,class,precision,recall,f1,support
unigrams_only,negative,0.46153846153846156,0.5,0.48,72.0
unigrams_only,neutral,0.7021276595744681,0.532258064516129,0.6055045871559633,124.0
unigrams_only,positive,0.15,0.375,0.21428571428571427,16.0
bigrams_only,negative,0.43548387096774194,0.375,0.40298507462686567,72.0
bigrams_only,neutral,0.6875,0.3548387096774194,0.46808510638297873,124.0
bigrams_only,positive,0.09302325581395349,0.5,0.1568627450980392,16.0
unigrams_plus_bigrams,negative,0.475,0.5277777777777778,0.5,72.0
unigrams_plus_bigrams,neutral,0.7159090909090909,0.5080645161290323,0.5943396226415094,124.0
unigrams_plus_bigrams,positive,0.13636363636363635,0.375,0.2,16.0
