topic,negative,neutral,positive
Artificial Intelligence,85.53125,148.54166666666666,18.927083333333332
Climate Change,89.58806818181819,155.58712121212122,19.824810606060606
Cryptocurrency,91.95454545454545,159.6969696969697,20.348484848484848
Cybersecurity,89.92613636363636,156.17424242424244,19.89962121212121
