topic,negative,neutral,positive,total
Artificial Intelligence,26.9,61.3,11.9,253
Climate Change,37.0,57.0,6.0,265
Cryptocurrency,37.9,54.8,7.4,272
Cybersecurity,33.1,62.0,4.9,266
