quarter,negative,neutral,positive,total
Ιουλ–Σεπ 2023,16,32,6,54
Οκτ–Δεκ 2023,21,50,4,75
Ιαν–Μαρ 2024,27,37,5,69
Απρ–Ιουν 2024,39,45,4,88
Ιουλ–Σεπ 2024,42,61,6,109
Οκτ–Δεκ 2024,31,49,7,87
Ιαν–Μαρ 2025,25,64,7,96
Απρ–Ιουν 2025,34,54,7,95
Ιουλ–Σεπ 2025,27,55,11,93
Οκτ–Δεκ 2025,34,57,4,95
Ιαν–Μαρ 2026,26,56,12,94
Απρ–Ιουν 2026,28,49,3,80
Ιουλ–Σεπ 2026,7,11,3,21
