topic,final_sentiment,count
Artificial Intelligence,negative,68
Artificial Intelligence,neutral,155
Artificial Intelligence,positive,30
Climate Change,negative,98
Climate Change,neutral,151
Climate Change,positive,16
Cryptocurrency,negative,103
Cryptocurrency,neutral,149
Cryptocurrency,positive,20
Cybersecurity,negative,88
Cybersecurity,neutral,165
Cybersecurity,positive,13
