topic,final_sentiment,count
Artificial Intelligence,negative,62
Artificial Intelligence,neutral,137
Artificial Intelligence,positive,21
Climate Change,negative,88
Climate Change,neutral,133
Climate Change,positive,11
Cryptocurrency,negative,87
Cryptocurrency,neutral,132
Cryptocurrency,positive,11
Cybersecurity,negative,67
Cybersecurity,neutral,151
Cybersecurity,positive,10
